date,question_id,priority,intent,platform,run,prompt,owned_url,status,propeller_mentioned,propeller_cited,propeller_url_cited,competitors_mentioned,competitors_cited,cited_domains,answer_accurate,answer_summary,follow_up_actions,reviewer
2026-07-13,prizepicks-payout-calculator,high,tool,ChatGPT search,1,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,ChatGPT search,2,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,ChatGPT search,3,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,Perplexity,1,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,Perplexity,2,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,Perplexity,3,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,Google AI Overviews,1,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,Google AI Overviews,2,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,Google AI Overviews,3,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,Gemini,1,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,Gemini,2,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,Gemini,3,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,Copilot,1,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,Copilot,2,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-payout-calculator,high,tool,Copilot,3,What is the best PrizePicks payout calculator?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,ChatGPT search,1,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,ChatGPT search,2,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,ChatGPT search,3,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,Perplexity,1,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,Perplexity,2,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,Perplexity,3,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,Google AI Overviews,1,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,Google AI Overviews,2,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,Google AI Overviews,3,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,Gemini,1,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,Gemini,2,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,Gemini,3,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,Copilot,1,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,Copilot,2,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-5-of-6,high,answer,Copilot,3,What happens if you get 5 out of 6 on PrizePicks?,https://propellerpicks.com/tools/prizepicks-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,ChatGPT search,1,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,ChatGPT search,2,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,ChatGPT search,3,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,Perplexity,1,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,Perplexity,2,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,Perplexity,3,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,Google AI Overviews,1,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,Google AI Overviews,2,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,Google AI Overviews,3,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,Gemini,1,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,Gemini,2,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,Gemini,3,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,Copilot,1,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,Copilot,2,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,prizepicks-power-max-picks,high,answer,Copilot,3,How many picks can you have on PrizePicks Power Play in 2026?,https://propellerpicks.com/guides/prizepicks-strategy/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,ChatGPT search,1,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,ChatGPT search,2,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,ChatGPT search,3,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,Perplexity,1,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,Perplexity,2,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,Perplexity,3,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,Google AI Overviews,1,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,Google AI Overviews,2,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,Google AI Overviews,3,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,Gemini,1,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,Gemini,2,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,Gemini,3,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,Copilot,1,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,Copilot,2,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,underdog-payout-calculator,high,tool,Copilot,3,What is the best Underdog flex payout calculator?,https://propellerpicks.com/tools/underdog-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,ChatGPT search,1,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,ChatGPT search,2,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,ChatGPT search,3,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,Perplexity,1,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,Perplexity,2,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,Perplexity,3,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,Google AI Overviews,1,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,Google AI Overviews,2,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,Google AI Overviews,3,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,Gemini,1,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,Gemini,2,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,Gemini,3,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,Copilot,1,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,Copilot,2,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,pick6-payout-calculator,high,tool,Copilot,3,What is the best Pick6 payout calculator?,https://propellerpicks.com/tools/pick6-payout-calculator/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,ChatGPT search,1,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,ChatGPT search,2,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,ChatGPT search,3,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,Perplexity,1,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,Perplexity,2,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,Perplexity,3,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,Google AI Overviews,1,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,Google AI Overviews,2,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,Google AI Overviews,3,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,Gemini,1,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,Gemini,2,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,Gemini,3,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,Copilot,1,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
2026-07-13,player-prop-analyzer-free,high,product,Copilot,2,What is a free player prop analyzer?,https://propellerpicks.com/analyzer/,pending_manual_platform_run,,,,,,,,,,
